Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
Birger Jarlsgatan 109D,27 september 2022,3490000,2995000,Lägenhet,Bostadsrätt,1.0,39.0,Nej,,1903,1854.0,3000.0,,0
"Kungsklippan 20, 7tr",28 september 2022,2715000,2595000,Lägenhet,Bostadsrätt,1.0,28.0,Ja,7.0,1934,2458.0,,Ja,8
Valhallavägen 22 C,28 september 2022,2995000,3295000,Lägenhet,Bostadsrätt,1.0,35.0,,2.0,1911,2361.0,5040.0,Ja,0
"Luntmakargatan 63, 3 tr",29 september 2022,3250000,2795000,Lägenhet,Bostadsrätt,1.0,27.0,Ja,3.0,1939,1012.0,,Ja,0
Drejargatan 7,30 september 2022,3425000,2995000,Lägenhet,Bostadsrätt,1.0,37.0,Nej,0.5,1926,1768.0,7025.0,Ja,6
"Industrigatan 14, 3 tr",30 september 2022,3500000,3495000,Lägenhet,Bostadsrätt,1.0,41.0,Ja,3.0,1935,2783.0,,Ja,1
Völundsgatan 10,30 september 2022,2700000,2595000,Lägenhet,Bostadsrätt,1.0,21.0,Ja,5.0,1929,1711.0,,Ja,6
Hagagatan 52 A,1 oktober 2022,2900000,2595000,Lägenhet,Bostadsrätt,1.0,31.0,,,1912,1905.0,,,7
Torbjörn Klockares Gata 25 Accepterat pris.,3 oktober 2022,2899000,2995000,Lägenhet,Bostadsrätt,1.0,27.0,,,1924,1280.0,,,6
"Ehrensvärdsgatan 6, 1 tr",4 oktober 2022,2725000,3050000,Lägenhet,Bostadsrätt,1.0,29.0,,1.0,1930,1117.0,2403600.0,Ja,1
"Bågljusvägen 5, vån 4",4 oktober 2022,3255000,3195000,Lägenhet,Bostadsrätt,1.0,37.0,Ja,4.0,2006,2651.0,,Ja,1
"Västmannagatan 55 A, högst upp över gård.",5 oktober 2022,3920000,3975000,Lägenhet,Andel i bostadsförening,1.0,32.0,Ja,3.0,1885,1456.0,11500.0,Nej,4
Birger Jarlsgatan 104 G,5 oktober 2022,2650000,2520000,Lägenhet,Bostadsrätt,1.0,20.0,,2.0,1929,1467.0,3300.0,,0
Sven Rinmans gata 5,5 oktober 2022,3350000,2995000,Lägenhet,Bostadsrätt,1.0,30.0,,4.0,1931,1195.0,4800.0,,1
Alströmergatan 49,5 oktober 2022,2800000,0,Lägenhet,Bostadsrätt,1.0,27.0,Nej,3.0,1929,1933.0,4700.0,Ja,1
"Sankt Eriksgatan 55 A, 4 tr (gårdshuset)",5 oktober 2022,2495000,2495000,Lägenhet,Bostadsrätt,1.0,22.0,Ja,4.0,1904,1218.0,,Ja,1
"Tegnérgatan 19, 5tr",5 oktober 2022,3440000,2995000,Lägenhet,Bostadsrätt,1.0,29.0,,5.0,1934,1337.0,,Ja,0
"Alströmergatan 9, 4 tr",5 oktober 2022,3100000,3200000,Lägenhet,Bostadsrätt,1.0,28.0,Ja,4.0,1952,1665.0,,Ja,1
Ola Hanssonsgatan 6,6 oktober 2022,3095000,3095000,Lägenhet,Bostadsrätt,1.0,34.0,Ja,4.0,1933,2361.0,4800.0,Ja,2
"Östermalmsgatan 57, BV",6 oktober 2022,4000000,3800000,Lägenhet,Bostadsrätt,1.0,36.0,,,1883,1626.0,4000.0,,9
"Linnégatan 8, 4 tr",6 oktober 2022,3460000,3195000,Lägenhet,Bostadsrätt,1.0,31.0,Ja,4.0,1939,807.0,5880.0,Ja,9
Valfrid Palmgrens gata 7,7 oktober 2022,4800000,5000000,Lägenhet,Andelsboende,1.0,32.0,Nej,4.0,2022,934.0,7354.0,Ja,7
Nybrogatan 56,7 oktober 2022,3295000,3295000,Lägenhet,Bostadsrätt,1.0,32.0,Nej,,1883,1721.0,8000.0,,9
Völundsgatan 9,7 oktober 2022,4000000,3750000,Lägenhet,Bostadsrätt,1.0,36.0,Ja,1.0,1929,2565.0,,Ja,6
Sankt eriksgatan 39,10 oktober 2022,2800000,2495000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,1.0,1937,790.0,,Ja,1
Levertinsgatan 1,10 oktober 2022,2820000,2795000,Lägenhet,Bostadsrätt,1.0,35.0,Nej,3.0,1931,2539.0,6600.0,Ja,2
Karlbergsvägen 87A,10 oktober 2022,3200000,2750000,Lägenhet,Bostadsrätt,1.0,33.0,,4.0,1912,1768.0,,Ja,6
Grevgatan 19,11 oktober 2022,3650000,3350000,Lägenhet,Bostadsrätt,1.0,24.0,Ja,2.0,1931,1047.0,4400.0,Ja,3
Floragatan 7,11 oktober 2022,3360000,2900000,Lägenhet,Bostadsrätt,1.0,24.0,Ja,3.0,1943,912.0,5600.0,Ja,9
"Dalagatan 8, 4tr",12 oktober 2022,3210000,2995000,Lägenhet,Bostadsrätt,1.0,29.0,,4.0,1928,1513.0,5600.0,Ja,4
Kammakargatan 64B,12 oktober 2022,3125000,3150000,Lägenhet,Bostadsrätt,1.0,30.0,Nej,0.5,1927,1847.0,,Ja,4
"Atlasgatan 12, Högst upp i huset",12 oktober 2022,3300000,2995000,Lägenhet,Bostadsrätt,1.0,29.0,Nej,3.0,1929,1279.0,5600.0,Nej,6
Robert Almströmsgatan 3 - Högst upp i huset!,12 oktober 2022,3100000,3095000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,5.0,1929,1698.0,4000.0,Ja,6
Rörstrandsgatan 15,13 oktober 2022,4850000,4500000,Lägenhet,Bostadsrätt,1.0,40.0,Ja,3.0,1928,2181.0,8700.0,Ja,6
